Yelp URL,Name,Street Address,Zip Code,City,State,Price Range,Phone,Rating,Number of Reviews,Website,Menu Link,Image 1,Image 2,Image 3,Category 1,Category 2,Category 3
https://www.yelp.com/biz/coffee-up-roastery-fullerton-2,Coffee Up Roastery,1950 Sunny Crest Dr Ste 1000,92835,Fullerton,CA,$,(714) 519-3407,5,27,www.coffeeuproastery.com,coffeeuproastery.com/menu,https://s3-media0.fl.yelpcdn.com/bphoto/3aMNgz9E2KLnJ18wawuE2A/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/WTjEM1U48DVAXavywg2Pkg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/DbBuhbkEKTgb7PE4HEM1KA/l.jpg,Coffee & Tea,Sandwiches,Cafes
https://www.yelp.com/biz/green-bliss-fullerton,Green Bliss,305 N Harbor Blvd Ste 103,92832,Fullerton,CA,$$,(714) 773-0018,4,883,green-bliss-cafe.business.site,drive.google.com/file/d/0B6WuAz39nePRY2dWbFdFc3Jic28/view%3Fresourcekey%3D0-sENgfYtOihKsFlGijgYP9A,https://s3-media0.fl.yelpcdn.com/bphoto/WPgZmeebl9DxfyNMJ7wURw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/nsXwF_Tn9dm4WmkeuazJOg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Kuc2yTypXoTei0tMrosHWg/l.jpg,Coffee & Tea,Breakfast & Brunch,
https://www.yelp.com/biz/the-last-drop-cafe-claremont,The Last Drop Cafe,119 Harvard Ave ,91711,Claremont,CA,$$,(909) 482-1870,4.5,727,,,https://s3-media0.fl.yelpcdn.com/bphoto/Ya2Gica_Ysl3GvxdBquqBg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Oc2Hp44uGRKnxGbKqoc4ug/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/xSoWlRrR_HGmjETJ3eCDJA/l.jpg,Bakeries,Coffee & Tea,Sandwiches
https://www.yelp.com/biz/coffee-code-norwalk,Coffee Code,13250 Rosecrans Ave ,90650,Norwalk,CA,$$,(562) 210-8390,4.5,157,www.coffeecodeusa.com,,https://s3-media0.fl.yelpcdn.com/bphoto/tR8tVi0xnax8uZllnBKQYA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/it5mV9Rc3rdQNThbSFxt7g/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/kTEe4j9BjSf1XUZl4nXaFQ/l.jpg,Coffee & Tea,,
https://www.yelp.com/biz/the-alley-rowland-heights-2,The Alley,1380 S Fullerton Rd Ste 101,91748,Rowland Heights,CA,$$,(626) 764-4841,3.5,267,,,https://s3-media0.fl.yelpcdn.com/bphoto/lkywZ8MI1Q2FBmn3F2Q6ig/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/rdlaIvMqB8rB3ksQAUbGIA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/QXCk76sNe7NkaLv-wF436g/l.jpg,Coffee & Tea,Bubble Tea,
https://www.yelp.com/biz/la-social-cafe-west-covina-2,LA Social Cafe,933 S Sunset Ave Ste 100,91790,West Covina,CA,$,(626) 430-6994,4.5,274,lasocialcafe.com,,https://s3-media0.fl.yelpcdn.com/bphoto/PocfbrA2yAanASG1PJL9ew/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/GQ-g26kLA90griIDnmzzrQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/RLzYlHeIQbRvlcfTIgJKkg/l.jpg,Coffee & Tea,Breakfast & Brunch,Bakeries
https://www.yelp.com/biz/la-dolce-vita-anaheim-2,La Dolce Vita,3016 Lincoln Ave ,92801,Anaheim,CA,$$,(657) 514-6262,4.5,35,,,https://s3-media0.fl.yelpcdn.com/bphoto/8elwIYtQsMRakXYQBE-WiA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/V6qO9hLHpxSY9fxM7PlbHA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/OYA4981rad4VlkUjoH8YgA/l.jpg,Coffee & Tea,Desserts,
https://www.yelp.com/biz/allmytea-cafe-anaheim-5,AllMyTea Cafe,321 W Katella Ave Ste 129,92802,Anaheim,CA,$$,(657) 208-1065,4.5,86,allmyteacafe.com,allmyteacafe.com/menu,https://s3-media0.fl.yelpcdn.com/bphoto/R8cwI-3kE71VbDpepwvOew/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/4Yf50QosgIxfe6irZ5jscw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/r5K_89iZPODJu588F3wibQ/l.jpg,Coffee & Tea,Bubble Tea,
https://www.yelp.com/biz/special-needz-coffee-ontario-4,Special Needz Coffee,404 N Euclid Ave ,91762,Ontario,CA,,,5,4,,,https://s3-media0.fl.yelpcdn.com/bphoto/RT2tyocHEWLCon_DsLbTzA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/WoyOYzrXMBPDGvE0G_LufQ/l.jpg,https://cf-images.us-east-1.prod.boltdns.net/v1/jit/3142682442001/966f3c75-dab3-4408-afd5-bc7a9843003c/main/360x360/2s500ms/match/image.jpg,Coffee & Tea,,
https://www.yelp.com/biz/ma-juicy-garden-grove,Ma Juicy,13281 Brookhurst St Ste A,92843,Garden Grove,CA,$$,(657) 427-6303,4,137,www.majuicy.com,,https://s3-media0.fl.yelpcdn.com/bphoto/JeCjYcXcCqp0OT3HnORpuw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/o5ZC9wthOO-JBDwjOXYLXA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/F99GXZODOeCHiC5QI7PgiQ/l.jpg,Coffee & Tea,Bubble Tea,Juice Bars & Smoothies
https://www.yelp.com/biz/paris-baguette-diamond-bar-2,Paris Baguette,21050 Golden Springs Dr Ste C-105,91789,Diamond Bar,CA,$$,(909) 598-0404,3.5,294,www.parisbaguette.com,,https://s3-media0.fl.yelpcdn.com/bphoto/PbXti1xc9DYZipPU-Nlwfg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/10jvEFQKQK-sB7ar1H_0hg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/wKssi6xjDKjZE2plXJTAfw/l.jpg,Bakeries,Coffee & Tea,Patisserie/Cake Shop
https://www.yelp.com/biz/stirred-roasters-coffee-house-cerritos-2,Stirred Roasters Coffee House,13295 South St ,90703,Cerritos,CA,$$,(562) 741-3053,4.5,137,stirred-roasters-coffee-house.ueniweb.com,,https://s3-media0.fl.yelpcdn.com/bphoto/kgtq23lXO1GrNOrWFXLq6w/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Z8AAQEJOMJmxVGL4b4Z5fg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/gxbIjfNGeZOnuJHxOmIjQw/l.jpg,Coffee & Tea,,
https://www.yelp.com/biz/xt-patisserie-la-habra,XT Patisserie,1403 E Lambert Rd Ste A,90631,La Habra,CA,$$,(562) 697-3838,4.5,106,www.xtpatisserie.com,,https://s3-media0.fl.yelpcdn.com/bphoto/-ah0g4Dqq65P13X5ay185w/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/QRiafPmY2bXVx0oDuZyqRQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/tWuN4XCF0ovbj596CnGcmg/l.jpg,Ice Cream & Frozen Yogurt,Coffee & Tea,Macarons
https://www.yelp.com/biz/compassion-cafe-anaheim-2,Compassion Cafe,3330 E Miraloma Ave Eastside Christian Church,92806,Anaheim,CA,$,(714) 871-6844,4.5,4,eastside.com,,https://s3-media0.fl.yelpcdn.com/bphoto/EzOZswIPyS396J_hgSmt8Q/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/uvtlgiNVUkpcYd7nWbEnug/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/YW-2f8oRla87g0BRqUkVpw/l.jpg,Desserts,Coffee & Tea,Bakeries
https://www.yelp.com/biz/kimmies-coffee-cup-brea,Kimmie's Coffee Cup,770 S Brea Blvd ,92821,Brea,CA,$$,(714) 529-4022,3,527,www.kimmiescoffeecup.com,,https://s3-media0.fl.yelpcdn.com/bphoto/7qgP7XuTdQwqc0J4vIe76g/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/xxQ539aM6yP7TLfOQInK5w/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/5o9zDPwVpAN8SVZaHGw04w/l.jpg,Breakfast & Brunch,Coffee & Tea,
https://www.yelp.com/biz/blk-dot-coffee-orange,Blk Dot Coffee,201 W Chapman ,92866,Orange,CA,$$,(714) 602-9788,4,58,www.blkdotcoffee.com,www.blkdotcoffee.com/s/order,https://s3-media0.fl.yelpcdn.com/bphoto/_3ZZDD4HDyrko2CM4f_ECw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/_cWzLX8qPdILTbFRk1nmBA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/AqXhrNtQecoR3as03K2UNQ/l.jpg,Sandwiches,Breakfast & Brunch,Coffee & Tea
https://www.yelp.com/biz/board-and-brew-anaheim-hills-anaheim,Board & Brew - Anaheim Hills,5701 E Santa Ana Canyon Rd Ste P,92807,Anaheim,CA,$$,(714) 685-2188,4.5,759,boardandbrew.com/locations/anaheim-hills/,www.yelp.com/menu/board-and-brew-anaheim-hills-anaheim,https://s3-media0.fl.yelpcdn.com/bphoto/rX6axl-hsGPKidm14uJgyQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/fKlPgOjqB20VdRPh6Jy-Dg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/QMjnfJQj7Jm-6OiRiOLgpQ/l.jpg,Sandwiches,Beer Bar,Cafes
https://www.yelp.com/biz/mj-cafe-and-teahouse-walnut,MJ Cafe & Teahouse,20747 Amar Rd Ste 6,91789,Walnut,CA,$$,(909) 612-7480,3,614,,,https://s3-media0.fl.yelpcdn.com/bphoto/b_6qQKkEDJ2-MqHY4-G8bw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/rcK6tUDIJ-O-rOqf7XWrXg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/BSt68w-10mDhbMy9GAUIQw/l.jpg,Taiwanese,Cafes,Chinese
https://www.yelp.com/biz/lit-cafe-oc-anaheim,LIT Cafe OC,1071 N Tustin Ave Ste 100,92807,Anaheim,CA,$$,(657) 208-3485,4.5,235,www.litcafeoc.com,www.litcafeoc.com/menu,https://s3-media0.fl.yelpcdn.com/bphoto/JPtXj9RfX2p83R-t9xt0Og/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/qTO2us0t4GbSfQzI5MwthA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/WXBXnOym2eHjDVc1Fpna3A/l.jpg,Breakfast & Brunch,Cafes,Bakeries
https://www.yelp.com/biz/ground-up-water-and-coffee-la-habra,Ground Up Water & Coffee,1261 S Harbor Blvd Ste D,90631,La Habra,CA,,(562) 451-0509,5,9,www.groundupwaterandcoffee.com,www.groundupwaterandcoffee.com/s/order,https://s3-media0.fl.yelpcdn.com/bphoto/nj8kOrjgGrlg-b2DstX5lQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/GRaoNRvgjy8FeMmvdRJTtg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Dkce3tM7LaihI5jPWzsL1A/l.jpg,Coffee & Tea,,
https://www.yelp.com/biz/jie-boba-tea-fullerton,Jie Boba Tea,1014 E Bastanchury Rd ,92835,Fullerton,CA,$$,(714) 582-2317,4.5,619,,,https://s3-media0.fl.yelpcdn.com/bphoto/WSiD0fS82-doUzh3vSWxYQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/-UQgI5lbigmsQamcc_hPsA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/zSHSIGlkZpuXroAil5_HxQ/l.jpg,Coffee & Tea,Bubble Tea,Juice Bars & Smoothies
https://www.yelp.com/biz/canabru-coffee-chino,Canabru Coffee,14521 Ramona Ave ,91710,Chino,CA,$$,(909) 271-2262,4,856,www.syphoncoffeebar.com,,https://s3-media0.fl.yelpcdn.com/bphoto/XVRUCWY5wiF8HkHOLR8evQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/5qr8jEe_rIg2ushT_4EGZQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/EaDMRnvDAjP1fr-ObyhMBg/l.jpg,Coffee & Tea,,
https://www.yelp.com/biz/moo-cafe-placentia-2,Moo Cafe,118 N Bradford Ave ,92870,Placentia,CA,$$,(714) 646-9311,4.5,117,moocafeco.com,,https://s3-media0.fl.yelpcdn.com/bphoto/UNLArrhBWyzGSMX_K0m1PQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/_dQ0ix41h-DhVqZUC9xeAQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/8Y7f2XNRHeck6_x7HftBZw/l.jpg,Bubble Tea,Coffee & Tea,Ice Cream & Frozen Yogurt
https://www.yelp.com/biz/le-pain-quotidien-claremont-2,Le Pain Quotidien,175 N Indian Hill Blvd ,91711,Claremont,CA,$$,(909) 480-4771,3.5,615,www.lepainquotidien.com/us/en/locations/Claremont/175-N-Indian-Hill-Blvd/?utm_source=yelp&utm_medium=business-listing&utm_campaign=us-en-always-on-listing,order.lepainquotidien.com/menu/le-pain-quotidien-claremont%3Futm_source%3Dyelp%26utm_medium%3Dbusiness-listing%26utm_campaign%3Dus-en-always-on-listing,https://s3-media0.fl.yelpcdn.com/bphoto/Z_4OCucOm2li7uwT7VrpkA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Q-kw04k-22-RB8N7_r5o7Q/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/yTSw2-43U_KRd7IIk2wtYQ/l.jpg,Bakeries,Breakfast & Brunch,Coffee & Tea
https://www.yelp.com/biz/city-bagel-placentia,City Bagel,1225 E Yorba Linda Blvd ,92870,Placentia,CA,$,(714) 572-0220,4.5,223,www.citybagel.us,www.citybagel.us/menu,https://s3-media0.fl.yelpcdn.com/bphoto/R9HKuHC9EeQTQqhX6bUciQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Evz3tlRwHtXM4rT1RLKVcg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/_NAFiK7IFGsvkifeqykGEA/l.jpg,Bagels,Coffee & Tea,Breakfast & Brunch
https://www.yelp.com/biz/mealtop-cafe-and-brunch-buena-park-2,Mealtop Cafe & Brunch,6982 Beach Blvd Ste C311,90621,Buena Park,CA,$$,(714) 252-4878,4,238,www.mealtopcafe.com,,https://s3-media0.fl.yelpcdn.com/bphoto/-yhzkpOVpTWZodst2u_HnA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/s4iXOOsBerU1hhcXm070xA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Y0Bjbj9QKcDKCECAZY2VPg/l.jpg,Desserts,Cafes,Breakfast & Brunch
https://www.yelp.com/biz/lift-coffee-roasters-whittier,Lift Coffee Roasters,6701 Greenleaf Ave ,90601,Whittier,CA,$$,(562) 632-1111,4,357,liftcoffeeroasters.com,,https://s3-media0.fl.yelpcdn.com/bphoto/1THYGaJBsP0x2vOrrSiR4g/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/XDuepNJD31PdRDt5DdtmXg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/7y-F0QeGBvPJN3fcUzBdVw/l.jpg,Coffee & Tea,Coffee Roasteries,
https://www.yelp.com/biz/le-parfait-paris-anaheim-4,Parfait Paris,440 S Anaheim Blvd Ste 214,92805,Anaheim,CA,$$,(714) 783-7851,4.5,192,parfaitparis.com,anaheim.parfaitparis.com/,https://s3-media0.fl.yelpcdn.com/bphoto/OHN6Z8yvQRkFETRK-aDV3w/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/qgyljJNJTOBil2vOMYUm6A/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/bjinTlrfF8iD-o8vxOf1ag/l.jpg,Bakeries,Creperies,Coffee & Tea
https://www.yelp.com/biz/cyranos-caffe-orange,Cyrano's Caffe,7446 E Chapman Ave ,92869,Orange,CA,$$,(714) 289-1031,4,225,,,https://s3-media0.fl.yelpcdn.com/bphoto/gyX3eqgudYaLEPwDews6WQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/8scx0mi3ZqAgTCmtsSWb-g/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/GaStBK3wJ7aUGfSd2baNnw/l.jpg,Coffee & Tea,Breakfast & Brunch,Acai Bowls
https://www.yelp.com/biz/old-ferry-donut-buena-park,Old Ferry Donut,6920 Beach Blvd Ste K-130,90621,Buena Park,CA,,(657) 614-5450,4.5,86,www.oldferrydonutus.com,,https://s3-media0.fl.yelpcdn.com/bphoto/-lrHHUPXIQ9NE_4G759Llg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/d7YjiaKjpEzdnr0XPH_SOQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/rwvGwPo1y6vV72687E4Acg/l.jpg,Donuts,Coffee & Tea,Juice Bars & Smoothies
https://www.yelp.com/biz/dragonfly-tea-bar-orange-2,Dragonfly Tea Bar,3533 E Chapman Ave Ste K,92869,Orange,CA,$,(714) 289-9800,3.5,529,dragonflyteabar.com,,https://s3-media0.fl.yelpcdn.com/bphoto/kKv_-b__ZWOS-g__5qsSwg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/d6AfpVZF-szvMkR-FEoFhA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/fCQFE4fpjgA_h8oGZ2feMQ/l.jpg,Bubble Tea,Coffee & Tea,
https://www.yelp.com/biz/guppy-house-anaheim,Guppy House,5642 E La Palma Ave Ste 107,92807,Anaheim,CA,$$,(714) 695-1958,3,860,,,https://s3-media0.fl.yelpcdn.com/bphoto/4tNSubYscLuJZuR04TXvbQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Icja_CO4xl_zGz5gZkkvbw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/mSpromlCmKPgjcBfs5XqrA/l.jpg,Coffee & Tea,Taiwanese,Bubble Tea
https://www.yelp.com/biz/awaken-coffee-yorba-linda,Awaken Coffee, ,,5091 Mountain View Ave,,$,(714) 777-7305,3.5,6,friends.church/terrace-coffee-house,,https://s3-media0.fl.yelpcdn.com/bphoto/e6PVxE1N92uPRBTq4h5iAw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/SOnV1QPdnkuWUyH44VYclA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Hnt7PjbA61dxZfY1iPlc9g/l.jpg,Coffee & Tea,Juice Bars & Smoothies,
https://www.yelp.com/biz/phin-smith-garden-grove,Phin Smith,12921 Main St ,92840,Garden Grove,CA,$,,5,1371,www.phinsmith.com,www.phinsmith.com/menu,https://s3-media0.fl.yelpcdn.com/bphoto/jdF0tSuW0EPbsLADiN1Bog/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Nb5QD_KtvBqgdEOc9O-lMA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/IKVbfms0_1iONxJ1O4OVVw/l.jpg,Coffee & Tea,,
https://www.yelp.com/biz/thirsty-girl-coffee-pomona,Thirsty Girl Coffee,170 E 1st St ,91766,Pomona,CA,,(909) 630-6077,5,36,,,https://s3-media0.fl.yelpcdn.com/bphoto/HHAbf4_16tB3o3asFqWocw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/-foyQEn74UCeXSEj4G5duA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/gVjDzx2_zBGA6qQw3i8-Xg/l.jpg,Coffee & Tea,,
https://www.yelp.com/biz/lamill-anaheim-anaheim,Lamill - Anaheim,2420 E Katella Ave ,92806,Anaheim,CA,$$,(657) 282-4535,4,142,www.lamillcoffee.com,,https://s3-media0.fl.yelpcdn.com/bphoto/VFdxR6uS_uLK_pZaKk6IPA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/G4egC9_7-LonLkXh4lTYFw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/fTZYTZ_FoeGArtP8TwLucQ/l.jpg,Coffee & Tea,Coffee Roasteries,Cafes
https://www.yelp.com/biz/local-coffee-bar-chino-hills-4,Local Coffee Bar,15871 Pomona RinconRd Ste 100,91709,Chino Hills,CA,,(909) 479-1883,4.5,61,www.localcoffeebar.com,www.localcoffeebar.com/coffee,https://s3-media0.fl.yelpcdn.com/bphoto/a_7piksSWbsS4xX97rYDIw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/UNrAusnk6gh39z2dLS7oOw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/VkaR4TN_uwW3nu1rMvwofA/l.jpg,Coffee & Tea,,
https://www.yelp.com/biz/the-wee-bakery-and-cafe-anaheim-2,The Wee Bakery & Cafe,1560 S Lewis St ,92805,Anaheim,CA,,(949) 409-4155,4,7,,,https://s3-media0.fl.yelpcdn.com/bphoto/QsSHQXcn-Mqigl0Vlw7CJw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/7wvBjB9lbzzssOCBmzlVPQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/PkEJVef_Jrw8bj_opiTobw/l.jpg,Bakeries,Coffee & Tea,Breakfast & Brunch
https://www.yelp.com/biz/lilypopp-cafe-anaheim-2,LilyPopp Cafe,8257 E Santa Ana Canyon Rd Ste B,92808,Anaheim,CA,$,(657) 205-2929,5,253,,,https://s3-media0.fl.yelpcdn.com/bphoto/309g7aHqOWNYzZQ-655f7A/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/_Zv2X9UwQDUQczRls5FOjA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/NR_L54rFzVoQAFEodpyw2g/l.jpg,Coffee & Tea,Bagels,Sandwiches
